Tweak,Repo,Version
SnapBack,me.midnightchips.snapback,2.0.0
SnowBoard,com.spark.snowboard,1.2.7~Beta1
SnowBoard Application,com.spark.snowboardapplication,1.0.1~Beta1
Speculum,com.lacertosusrepo.speculum,1.3.4
StatusBar NoX,net.tateu.statusbarnox,1.0.0~beta1-3
Substrate Safe Mode,com.saurik.substrate.safemode,0.9.6001.1
Succession,com.samgisaninja.successionrestore,1.3.4
Sudo,sudo,1.8.27-3
SwipeForMore,org.thebigboss.swipeformore,1.1.10
SwipeSelectionX,com.mumiantech.swipeselectionx,1.6.1-1
System Memory Reset Fix,system-memory-reset-fix,1.0
TapController,com.skylerk99.tapcontroller,0.0.4
Tape Archive,tar,1.30-2
Trust Cache Injector,trustinjector,0.4~b5
Twitter Labs,ru.pvmntsdev.twitterlabs,1.0.6
UHB - iOS 9/10/11/12 (Untrusted Hosts Blocker),com.thireus.untrustedhostsblocker9,1.7.1
UIKit Tools,uikittools,1.1.13-18
Ultrasound,applebetas.ios.tweak.willow,1.2.9
Utubed,utubed.ws,1.0.8
Veexillum,com.hackyouriphone.veexillum,2.7
Viola,com.hackyouriphone.viola,1.5
VivoApexIconSet,org.thebigboss.vivoapexiconsettheme,1.1
VolbrateXI,com.lacertosusrepo.volbratexi,1.3
WishDia,com.julioverne.wishdia,0.0~beta1
XZ Utils,xz,5.2.4-4
Xen HTML,com.matchstic.xenhtml,0.5.4
XenInfo,com.junesiphone.xeninfo,2.2.6
YTMiniBarX,com.wh0ba.ytminibarx,0.1
Zebra (BETA),xyz.willy.zebra,1.0~beta19
iCleaner Pro,com.exile90.icleanerpro,7.7.5
iOS Firmware,firmware,12.1.1
iPhone Firmware (/sbin),firmware-sbin,0-1
libCSColorPicker,com.creaturesurvive.libcscolorpicker,1.0
libCSPreferences,com.creaturecoding.libcspreferences,1.1.6
libSparkAppList,com.spark.libsparkapplist,1.0.3
libSubstitrate,com.ps.libsubstitrate,0.0.1-3
libbulletin,net.limneos.libbulletin,0.1-145
libcolorpicker,org.thebigboss.libcolorpicker,1.6.3-1
libnepeta,me.nepeta.libnepeta,0.1.1
libswift4,com.modmyi.libswift4,4.2.1-2
mida~beta,com.trentjk.mida,1.0.4~b1
shuffle,com.creaturecoding.shuffle,0.8.0b
twttr,me.aesthyrica.twttr,1.0.3
